200304130133-012	1019	20030413	2	1031840	1	6.8
200304130133-012	1019	20030413	3	1005574	1	1.6
200304130133-012	1019	20030413	4	1036070	1	1.6
200304130133-012	1019	20030413	5	1048912	1	29.8
200304130133-012	1019	20030413	6	1010999	1	10.3
200304130133-012	1019	20030413	7	1001765	1	7.8
200304130133-012	1019	20030413	8	1040658	2	2.1
200304130133-012	1019	20030413	9	1004054	1	2.5
200304130134-012	1019	20030413	1	1009523	1	1.7
200304130134-012	1019	20030413	2	1035507	2	1.8
200304130134-012	1019	20030413	3	1012299	1	3
200304130135-012	1019	20030413	1	1005419	2	1.4
200304130135-012	1019	20030413	2	1007270	2	13.8
200304130135-012	1019	20030413	3	1038506	1	16.3
200304130135-012	1019	20030413	4	1042018	1	32
200304130135-012	1019	20030413	5	1031276	1	29.8
200304130135-012	1019	20030413	6	1041966	1	45.6
200304130136-012	1019	20030413	1	1022308	0.268	6.4
200304130136-012	1019	20030413	3	1035904	1	2.7
200304130136-012	1019	20030413	4	1044204	1	3.9
200304130136-012	1019	20030413	5	1022498	0.36	12
200304130136-012	1019	20030413	6	1006049	1	3.3
200304130136-012	1019	20030413	7	1006009	1	2.6
200304130136-012	1019	20030413	10	1034751	1	2.7
200304130136-012	1019	20030413	13	1037739	1	10.7
200304130136-012	1019	20030413	14	1006257	3	2.9
200304130136-012	1019	20030413	15	1015197	1	4.9
200304130136-012	1019	20030413	16	1036126	1	7.2
200304130136-012	1019	20030413	17	1033269	1	3.4
200304130136-012	1019	20030413	18	1037735	1	17.6
200304130137-012	1019	20030413	1	1023551	12	1.65
200304130137-012	1019	20030413	2	1035034	2	3.3
200304130137-012	1019	20030413	3	1008607	0.498	16
200304130137-012	1019	20030413	4	1027137	1	4.5
200304130137-012	1019	20030413	5	1005783	1	21
200304130137-012	1019	20030413	6	1034751	1	2.7
200304130137-012	1019	20030413	7	1033269	1	3.4
200304130137-012	1019	20030413	8	1035594	1	11.3
200304130137-012	1019	20030413	9	1040958	1	9.8
200304130138-012	1019	20030413	1	1013685	1	1.6
200304130138-012	1019	20030413	2	1015057	1	2.5
200304130138-012	1019	20030413	3	1013653	1	1.6
200304130138-012	1019	20030413	4	1013659	1	1.8
200304130138-012	1019	20030413	5	1013801	1	1.1
200304130138-012	1019	20030413	6	1014570	1	1.6
200304130138-012	1019	20030413	7	1013769	2	2.8
200304130138-012	1019	20030413	8	1013702	2	1.5
200304130138-012	1019	20030413	9	1041314	2	3.8
200304130140-012	1019	20030413	2	1008364	2	3.25
200304130141-012	1019	20030413	1	1002663	1	26.9
200304130141-012	1019	20030413	2	1003280	1	27.3
200304130141-012	1019	20030413	3	1008127	3	1.2
200304130141-012	1019	20030413	6	1048758	1	3.1
200304130142-012	1019	20030413	1	1038246	1	5.9
200304130142-012	1019	20030413	2	1048657	1	4
200304130142-012	1019	20030413	4	1007764	1	15.6
200304130142-012	1019	20030413	6	1002904	1	5
200304130142-012	1019	20030413	7	1003380	1	3.1
200304130142-012	1019	20030413	8	1021188	1	2.1
200304130142-012	1019	20030413	9	1036763	1	3.3
200304130143-012	1019	20030413	1	1004814	24	1.65
200304130144-012	1019	20030413	1	1004997	1	12.7
200304130144-012	1019	20030413	2	1002533	1	38
200304130144-012	1019	20030413	3	1007010	1	7.3
200304130144-012	1019	20030413	4	1004616	1	8.9
200304130144-012	1019	20030413	5	1021305	1	17.8
200304130145-012	1019	20030413	1	1005573	2	5.8
200304130146-012	1019	20030413	1	1027097	4	4
200304130147-012	1019	20030413	1	1003886	1	11.6
200304130147-012	1019	20030413	2	1041187	1	4
200304130147-012	1019	20030413	3	1012208	1	28.5
200304130147-012	1019	20030413	4	1032506	1	3.6
200304130147-012	1019	20030413	5	1000437	1	2.5
200304130148-012	1019	20030413	1	1026504	0.108	28.6
200304130148-012	1019	20030413	2	1037454	0.108	79.6
200304130148-012	1019	20030413	3	1023762	0.172	13
200304130149-012	1019	20030413	1	1000917	1	3.6
200304130150-012	1019	20030413	1	1014877	1	39.8
200304130151-012	1019	20030413	1	1029124	1	1.9
200304130151-012	1019	20030413	2	1035414	1	2
200304130152-012	1019	20030413	1	1047950	1	2.2
200304130152-012	1019	20030413	2	1035414	1	2
200304130152-012	1019	20030413	3	1041544	1	2.8
200304130153-012	1019	20030413	1	1036708	1	4
200304130153-012	1019	20030413	2	1035413	1	3
200304130154-012	1019	20030413	1	1029124	1	1.9
200304130154-012	1019	20030413	2	1035414	1	2
200304130155-012	1019	20030413	1	1029124	1	1.9
200304130155-012	1019	20030413	2	1037297	1	5
200304130155-012	1019	20030413	3	1035413	1	3
200304130156-012	1019	20030413	1	1035413	1	3
200304130156-012	1019	20030413	2	1004095	1	6.8
200304130157-012	1019	20030413	1	1035414	1	2
200304130157-012	1019	20030413	3	1029124	1	1.9
200304130158-012	1019	20030413	1	1048584	1	3
200304130158-012	1019	20030413	2	1035414	1	2
200304130158-012	1019	20030413	3	1040809	1	1.6
200304130159-012	1019	20030413	1	1046387	1	2.6
200304130159-012	1019	20030413	2	1027547	1	10.6
200304130159-012	1019	20030413	3	1041250	1	15.9
200304130159-012	1019	20030413	4	1001903	1	1.3
200304130159-012	1019	20030413	5	1008793	1	0.9
200304130159-012	1019	20030413	6	1041769	1	6.9
200304130159-012	1019	20030413	7	1017069	1	11.6
200304130159-012	1019	20030413	8	1040105	1	19.2
200304130159-012	1019	20030413	9	1048867	1	6
200304130159-012	1019	20030413	10	1008089	1	6.6
200304130160-012	1019	20030413	1	1009140	1	31.1
200304130161-012	1019	20030413	1	1003116	1	1
200304130161-012	1019	20030413	2	1040811	1	5
200304130161-012	1019	20030413	3	1028221	1	2
200304130161-012	1019	20030413	4	1007874	2	1.2
200304130162-012	1019	20030413	1	1040811	1	5
200304130162-012	1019	20030413	2	1034194	1	3
200304130162-012	1019	20030413	3	1003116	1	1
200304130163-012	1019	20030413	1	1040811	1	5
200304130163-012	1019	20030413	2	1003116	1	1
200304130163-012	1019	20030413	3	1036708	1	4
200304130164-012	1019	20030413	1	1003116	1	1
200304130164-012	1019	20030413	2	1040811	1	5
200304130164-012	1019	20030413	3	1035404	1	3
200304130165-012	1019	20030413	1	1042050	1	1.8
200304130165-012	1019	20030413	2	1040811	1	5
200304130165-012	1019	20030413	3	1032871	1	2.6
200304130166-012	1019	20030413	1	1038395	1	1
200304130166-012	1019	20030413	2	1036708	1	4
200304130166-012	1019	20030413	3	1040811	1	5
200304130167-012	1019	20030413	1	1035404	1	3
200304130167-012	1019	20030413	2	1003116	1	1
200304130167-012	1019	20030413	3	1040811	1	5
200304130168-012	1019	20030413	1	1003116	1	1
200304130168-012	1019	20030413	2	1040811	1	5
200304130168-012	1019	20030413	3	1035404	1	3
200304130169-012	1019	20030413	1	1003072	1	2.8
200304130169-012	1019	20030413	2	1045048	1	5.3
200304130169-012	1019	20030413	3	1040088	1	3.1
200304130170-012	1019	20030413	1	1004814	24	1.65
200304130171-012	1019	20030413	1	1040014	1	4.4
200304130171-012	1019	20030413	2	1035442	3	2.15
200304130171-012	1019	20030413	3	1035443	2	2.15
200304130172-012	1019	20030413	1	1048791	1	4.5
200304130172-012	1019	20030413	2	1035116	2	2.6
200304130172-012	1019	20030413	3	1041153	1	3.3
200304130172-012	1019	20030413	4	1038370	3	4
200304130172-012	1019	20030413	5	1005413	3	2.5
200304130172-012	1019	20030413	6	1014753	4	0.5
200304130172-012	1019	20030413	7	1005563	4	0.9
200304130172-012	1019	20030413	8	1002795	3	2.8
200304130172-012	1019	20030413	9	1009702	2	3.7
200304130172-012	1019	20030413	10	1021992	2	2.7
200304130172-012	1019	20030413	11	1019360	1	5.4
200304130172-012	1019	20030413	12	1022005	2	5.5
200304130172-012	1019	20030413	13	1007443	2	3.9
200304130173-012	1019	20030413	1	1006106	1	3.2
200304130173-012	1019	20030413	2	1005352	1	0.9
200304130173-012	1019	20030413	3	1005456	1	1.2
200304130173-012	1019	20030413	4	1048595	1	1.6
200304130173-012	1019	20030413	5	1044430	3	1
200304130173-012	1019	20030413	6	1040192	1	1.7
200304130173-012	1019	20030413	7	1003907	2	1.6
